imdbID,Title,WatchedDate,Rating10
tt0117038,Michael,2017-08-01,5
tt0117151,"Nan guo zai jian, nan guo",2014-04-04,8
tt0117214,Nun va Goldoon,2014-02-20,6
tt0117381,Primal Fear,2012-10-20,6
tt0117500,The Rock,2012-10-20,4
tt0117705,Space Jam,2014-01-27,5
tt0117905,Tian mi mi,2014-04-14,8
tt0117951,Trainspotting,2014-04-17,8
tt1179933,10 Cloverfield Lane,2016-04-20,7
tt0118148,Bao gio cho den tháng Muoi,2014-08-23,8
tt1182345,Moon,2012-05-15,8
tt1183942,Parque vía,2015-06-25,5
tt0118583,Alien: Resurrection,2012-10-20,5
tt1186207,Défilé de voitures de bébés à la pouponnière de Paris,2014-01-26,4
tt0118655,Austin Powers: International Man of Mystery,2012-10-20,5
tt0118689,Bean,2017-11-14,5
tt0118694,Fa yeung nin wah,2012-08-15,9
tt1187044,La Nana,2014-11-15,6
tt0118715,The Big Lebowski,2012-10-20,8
tt0118749,Boogie Nights,2016-05-19,8
tt0118789,Buffalo '66,2016-12-21,8
tt0118845,Chun gwong cha sit,2013-09-15,9
tt1188729,Pandorum,2012-10-20,6
tt0118884,Contact,2012-10-20,8
tt1189073,La piel que habito,2012-11-17,8
tt0118929,Dark City,2012-10-20,7
tt1189340,The Lincoln Lawyer,2012-10-20,6
tt0118972,The Devil's Own,2012-10-20,5
tt0119007,Dong gong xi gong,2015-10-13,6
tt1190080,2012,2012-10-20,3
tt0119081,Event Horizon,2012-10-20,6
tt0119094,Face/Off,2012-10-20,5
tt1191111,Enter the Void,2015-01-31,8
tt0119116,The Fifth Element,2012-10-20,6
tt0119167,Funny Games,2015-11-08,7
tt0119174,The Game,2012-10-20,6
tt0119177,Gattaca,2012-10-20,8
tt0119237,Gummo,2015-02-04,7
tt0119250,Hana-bi,2014-02-05,6
tt1192628,Rango,2012-10-20,7
tt0119263,He liu,2014-01-10,8
tt0119282,Hercules,2013-08-02,6
tt0119349,The Ice Storm,2017-11-29,6
tt1194238,Polytechnique,2014-10-04,6
tt0119488,L.A. Confidential,2012-10-20,8
tt0119654,Men in Black,2012-10-20,6
tt0119698,Mononoke-hime,2013-08-11,9
tt0119711,Mat i syn,2014-02-19,5
tt0011984,The Boat,2013-08-25,6
tt0000012,L'arrivée d'un train à La Ciotat,2013-06-09,5
tt0120184,Sphere,2012-10-20,5
tt0120201,Starship Troopers,2012-10-20,7
tt0120255,The Sweet Hereafter,2017-12-04,7
tt0120263,Sånger från andra våningen,2013-09-25,8
tt0120265,Ta'm e guilass,2016-06-21,9
